1 2 88
1 3 50
1 4 92
1 5 61
1 6 23
1 7 21
1 8 94
1 9 27
1 10 93
1 11 54
1 12 33
1 13 34
1 14 63
1 15 93
1 16 96
1 17 65
1 18 14
1 19 26
1 20 7
1 21 26
1 22 99
1 23 70
1 24 52
1 25 28
1 26 94
1 27 35
1 28 63
1 29 77
1 30 79
1 31 18
1 32 28
1 33 45
1 34 18
1 35 13
1 36 96
1 37 13
1 38 13
1 39 67
1 40 35
1 41 87
1 42 99
1 43 2
1 44 76
1 45 78
1 46 87
1 47 64
1 48 28
1 49 62
1 50 18
1 51 16
1 52 6
1 53 31
1 54 91
1 55 15
1 56 80
1 57 1
1 58 41
1 59 13
1 60 52
1 61 38
1 62 52
1 63 89
1 64 35
1 65 10
1 66 55
1 67 15
1 68 43
1 69 78
1 70 70
1 71 41
1 72 95
1 73 56
1 74 26
1 75 80
1 76 88
1 77 29
1 78 96
1 79 73
1 80 24
1 81 99
1 82 9
1 83 30
40 84 93
34 85 29
31 86 81
47 87 9
67 88 78
54 89 42
36 90 20
22 91 86
49 92 86
19 93 38
25 94 0
25 95 36
77 96 94
53 97 65
70 98 74
76 99 60
22 100 94
32 101 77
21 102 66
72 103 63
49 104 31
49 105 1
41 106 84
32 107 31
48 108 91
32 109 4
65 110 84
52 111 31
56 112 63
16 113 98
80 114 69
79 115 12
54 116 74
31 117 48
74 118 60
56 119 78
72 120 89
26 121 26
34 122 100
57 123 29
75 124 10
21 125 100
72 126 68
23 127 75
64 128 44
30 129 93
63 130 16
57 131 43
17 132 99
50 133 7
22 134 100
39 135 38
57 136 18
63 137 64
50 138 79
15 139 96
52 140 95
51 141 3
20 142 64
32 143 100
56 144 1
56 145 15
57 146 76
80 147 37
62 148 86
134 149 18
123 150 55
46 138 74
20 122 34
75 115 64
27 145 9
83 138 28
26 123 18
80 119 14
16 120 94
27 123 1
71 143 69
31 134 8
78 146 2
28 141 49
18 128 29
70 121 82
74 147 95
30 130 85
82 122 14
29 122 71
67 126 36
22 132 26
61 137 100
56 131 19
74 144 45
67 130 29
81 118 29
60 132 26
78 117 60
78 142 28
16 124 17
24 120 100
58 136 99
21 148 65
26 115 43
20 127 42
44 146 2
69 120 54
45 141 43
79 140 23
79 138 26
75 143 93
70 147 45
58 132 33
23 116 68
40 138 65
55 138 62
83 130 84
58 40 80
67 56 60
44 30 14
21 55 55
67 22 10
58 45 59
76 58 38
59 78 48
37 30 52
30 40 73
42 49 76
47 49 53
66 16 67
47 55 71
16 40 13
46 63 46
29 76 78
48 18 88
51 40 27
50 19 72
16 79 7
64 20 23
83 41 17
36 42 73
72 72 15
26 28 74
76 83 60
17 43 23
74 29 44
34 29 32
47 60 32
76 28 56
80 31 34
17 24 22
55 79 78
20 48 37
55 23 72
25 70 76
49 50 86
70 56 86
34 65 42
33 75 5
27 18 70
75 82 75
67 47 95
44 22 81
44 36 13
70 16 56
30 24 54
22 73 84
77 75 77
82 62 98
19 43 49
76 79 65
77 21 52
50 38 13
52 72 41
82 66 11
26 60 87
61 36 60
66 64 39
50 17 97
33 49 17
61 18 33
66 62 80
34 49 11
44 76 28
79 27 78
45 45 22
53 25 76
44 38 15
60 27 44
26 76 35
62 46 1
75 37 39
78 45 58
56 25 61
72 58 70
52 33 100
32 71 49
63 39 16
44 70 10
55 51 66
40 54 46
18 34 54
79 39 51
53 18 69
60 69 28
80 70 11
50 74 35
75 29 6
83 47 79
59 55 58
63 68 66
31 41 11
26 29 96
28 59 29
63 42 67
40 77 46
40 48 100
28 82 43
64 58 28
18 36 7
52 19 21
36 70 83
34 39 78
83 61 79
69 45 34
23 67 8
25 76 0
37 67 86
16 15 74
79 22 70
29 83 42
77 81 43
20 23 18
49 46 16
75 36 1
52 64 98
82 59 87
56 32 55
61 48 39
43 28 18
60 53 51
57 68 30
28 35 60
74 63 59
60 29 12
40 26 88
47 54 98
16 73 79
25 18 50
47 33 22
78 77 19
25 37 22
23 82 13
34 31 94
33 41 66
53 17 8
77 38 93
39 31 83
18 57 2
35 72 32
55 33 94
77 25 27
20 20 47
69 69 42
55 61 59
59 37 31
15 34 31
44 54 78
58 35 8
53 79 65
48 29 4
20 60 42
56 53 52
47 47 47
32 47 10
24 64 6
28 34 30
18 79 69
56 18 68
35 21 69
36 30 85
61 29 63
69 82 39
44 45 14
77 20 22
77 24 16
54 81 38
60 82 70
56 23 77
30 56 71
49 22 67
73 18 2
70 23 50
27 28 39
45 16 87
67 25 65
83 43 46
76 41 75
23 79 30
62 18 77
31 51 71
66 79 26
83 45 64
140 119 10
133 135 71
138 148 22
117 144 47
129 130 71
